اسانول	regular_simple	v. stat. comp. trans.
اساني	non_verb	n. f.
اسانېدل	stative_compound_standard	v. stat. comp. intrans.
اسباب	non_verb	n. m. pl.
اسپنج	non_verb	n. m.
اسپند	non_verb	n. m.
اسپه	non_verb	adj.
اسپه	non_verb	n. f.
استا	non_verb	n. m. anim. unisex
استاتوب	non_verb	n. m.
استاد	non_verb	n. m. anim. unisex
استاذ	non_verb	n. m. anim. unisex
استازندوی	non_verb	n. m.
استازوالي	non_verb	n. f.
استازی	non_verb	n. m. unisex
استازي	non_verb	n. f.
استازیتوب	non_verb	n. m.
استبداد	non_verb	n. m.
استبدادي	non_verb	n. f.
استثمار	non_verb	n. m.
استثمارول	regular_simple	v. stat. comp. trans.
استثمارېدل	stative_compound_standard	v. stat. comp. intrans.
استثنایي	non_verb	adj.
استثنیٰ	non_verb	n. f.
استحصال	non_verb	n. m.
استحکام	non_verb	n. m.
استخاره	non_verb	n. f.
استخبارات	non_verb	n. m.
استخباراتي	non_verb	adj.
استخدام	non_verb	n. m.
استخراج	non_verb	n. m.
استخوان	non_verb	n. m.
استخوان بندي	non_verb	n. f.
استدراج	non_verb	n. m.
استدلال	non_verb	n. m.
استر	non_verb	n. m.
استراحت	non_verb	n. m.
استرالیا	non_verb	n. f.
استرالیایي	non_verb	adj.
استری	non_verb	adj.
استري	non_verb	n. f.
استري کول	dynamic_compound	v. dyn./stat. comp. trans.
استشهادی عملیات	non_verb	n. m.
استطلاع	non_verb	n. f.
استعداد	non_verb	n. m.
استعفا	non_verb	n. f.
استعفا کول	dynamic_compound	v. dyn. comp. trans.
استعفا ورکول	regular_simple	v. dyn. comp. trans.
استعمار	non_verb	n. m.
استعمار ګر	non_verb	n. m. anim. unisex / adj.
استعمارګر	non_verb	n. m. anim. unisex / adj.
استعماري	non_verb	adj.
استعمال	non_verb	n. m.
استعمال شوی	non_verb	adj.
استعمالول	regular_simple	v. stat. comp. trans.
استعمالېدل	stative_compound_standard	v. stat. comp. intrans.
استغفار	non_verb	n. m.
استغفار کول	dynamic_compound	v. dyn. comp. trans.
استغنا	non_verb	n. f.
استفاده	non_verb	n. f.
استفاده کول	dynamic_compound	v. dyn. comp. trans.
استفراغ	non_verb	n. m.
استفراغات	non_verb	n. m.
استفراق	non_verb	n. m.
استفهام	non_verb	n. m.
استفهامي	non_verb	adj.
استقبال	non_verb	n. f.
استقبال کول	dynamic_compound	v. dyn. comp. trans.
استقبالیه	non_verb	n. f.
استقرار	non_verb	n. m.
استقلال	non_verb	n. m.
استمرار	non_verb	n. m.
استمراري	non_verb	n. m.
استناد	non_verb	n. m.
استنادي	non_verb	adj.
استناف	non_verb	n. m.
استنباط	non_verb	n. m.
استنجا	non_verb	n. f.
استنجاء	non_verb	
