lemma,family,rationale,irregular_by_engine,imperfective_stem,perfective_stem,imperfective_root,perfective_root,verified_via
تکرارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تکمیلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تڼاکي کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تیارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تېره کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تېرېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تېزېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ثابتېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ثبتېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
جاج اخیستل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
جارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
جانجېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
جایزه اخیستل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
جبرانېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
جختېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
جدا کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
جذباتي کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
جذبېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
جلا کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
جمعه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
جنګېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
جوتېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
جوختېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
جوړېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
جګېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
حاصلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
حاضرېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
حذفېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
حسابېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
حصارېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
حصه اخیستل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
حل کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
حلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
حمل کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
حیرانېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خارجېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خارښتېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خاموشه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خبرېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ختمېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خرابېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خرټېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خرپېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خرڅېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خرړېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خریل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خرېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خرېیل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خزانه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خسي کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خطا کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خطبه ویل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خفه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خلاصه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خلاصېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خمېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خندېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خواټولی کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خورېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خوشالېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خوشتېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خوشحاله کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خوشحالېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خوټ کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خوټکېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خوټېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خوځېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خوړینېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خوږمنېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خوږېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خوښېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خټکېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خپرېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خپلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خړوبېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خړېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خښېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
خیشتېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
داخلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
دایرېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
دربلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
دربېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
دردېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
درزېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
درستېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
درغېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
درنېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
دروغ ویل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
دریافت کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
درېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
دفن کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
دلېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
دمېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
دننه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
دورېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
دوزانو کښېنستل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
